property name ,Room Price (in BDT or any other currency),review_count,Comment about room
Hotel Monna Lisa,View all 5 deals,541,room upgrade
Hotel Therese,View all 6 deals,881,nice and comfortable room
Nuage,View all 5 deals,106,Our room was spacious
Le Roch Hotel & Spa,View all 6 deals,467,
Hotel Crayon Rouge by Elegancia,View all 5 deals,338,huge room
LAZ’ Hotel Spa Urbain,View all 5 deals,411,Clean room and nice
Hotel des Grands Boulevards,View all 5 deals,260,great room
Buddha-Bar Hotel Paris,,"1,004",
Hotel de la Porte Doree,View all 5 deals,"1,220",the room was super clean
Eiffel Kennedy Hotel,View all 5 deals,768,
Hotel Saint Germain,View all 5 deals,"1,088",included in the room rate
Courtyard by Marriott Paris Gare de Lyon,View all 5 deals,560,Great room
Hotel Magda Champs-Elysees,View all 5 deals,"2,147",spacious room
Hotel le Senat,View all 4 deals,"1,002",clean and comfortable room
Apostrophe Hotel,View all 5 deals,773,
Hotel Mansart,View all 5 deals,"1,077",Great room
Hotel du Printemps,View all 5 deals,"1,133",great room service
Le Lapin Blanc,View all 5 deals,945,comfortable bed and quiet room
Hotel Atmospheres,View all 6 deals,"2,103",room was clean
Hotel Pastel Paris,View all 6 deals,214,clean room
Floride Etoile Hotel,View all 6 deals,765,room was clean
Hotel & Spa Saint-Jacques,View all 6 deals,"1,174",beautiful room with
Hotel Le Pradey,View all 6 deals,736,family room was spacious
Hotel Parister,View all 5 deals,448,Spacious room
Lenox Montparnasse,View all 5 deals,"2,135",room was clean
Hotel du Petit Moulin,View all 4 deals,558,great room
COQ Hotel Paris,View all 5 deals,675,superior room
Maison Nabis by HappyCulture,View all 5 deals,332,
Grand Pigalle Hotel,View all 5 deals,358,room was spacious
Hotel La Perle,View all 5 deals,908,Room was spacious
Chambiges Elysees Hotel,View all 5 deals,772,
Hotel Residence Montebello,View all 5 deals,200,room was clean
Hotel Monsieur & Spa,View all 6 deals,517,nice room and very clean
Taylor Hotel,View all 5 deals,536,Beautiful room with
Le Pigalle,View all 6 deals,298,
Hotel des 3 Poussins,View all 5 deals,888,lovely room - very clean
Hotel De L'Universite,View all 5 deals,676,room was spacious
Hotel Saint-Petersbourg Opera & SPA,View all 5 deals,"1,821",clean room
Hotel Left Bank Saint Germain,View all 4 deals,"1,042",superior room
Okko Hotels Paris Porte de Versailles,View all 6 deals,515,Clean room
Garden Elysee Hotel,View all 6 deals,655,room spacious and clean
Rochester Champs-Elysees Hotel,View all 5 deals,"1,288",clean and comfortable room
Hotel de la Paix Tour Eiffel,View all 5 deals,559,clean room with ac
25hours Hotel Terminus Nord,View all 6 deals,649,large+ room which
Hotel des Deux Iles,View all 5 deals,376,room was clean
Juliana Hotel Paris,View all 5 deals,587,room was spacious
Hotel Marceau Champs Elysees,View all 5 deals,583,room was large
Ritz Paris,View all 4 deals,910,Great room service
9Confidentiel,View all 6 deals,216,comfortable room with
Hotel Albe Saint Michel,View all 5 deals,"1,551",room was clean
Hotel de Seine,View all 5 deals,946,Room was clean and comfortable
Hotel du Jeu de Paume,View all 5 deals,745,Friendly staff and clean room
Maison FL,View all 5 deals,699,Spacious room
Hotel Les Matins de Paris & Spa,View all 6 deals,754,Beautiful room
Legend Hotel by Elegancia,View all 5 deals,"1,426",
Hotel Exquis by Elegancia,View all 5 deals,926,
Hotel Francois 1er,View all 6 deals,688,
Les Plumes Hotel,View all 6 deals,966,The room was nicely decorated
Hotel Le Cercle - Tour Eiffel,View all 5 deals,142,room was spacious
Hotel de la Mare,View all 4 deals,310,
Hotel Korner Montparnasse,,339,room was clean
Hotel Chatillon Paris Montparnasse,View all 6 deals,531,spacious room
O.lysee Hotel,View all 5 deals,69,Great room
Hotel Louvre Sainte Anne,View all 5 deals,630,
Oh la la Hotel,View all 6 deals,98,
Zazie Hotel,View all 5 deals,721,clean room
Hotel Residence Quintinie,,266,
Sofitel Paris Arc de Triomphe,View all 6 deals,"1,481",room was clean
Jack's Hotel,View all 5 deals,881,Clean room
Best Western Plus La Demeure,View all 6 deals,963,Clean room
Hotel Dauphine Saint Germain,View all 6 deals,"1,272",room was spacious
Hotel Acropole,View all 6 deals,686,comfortable room
Sonder L'Edmond Parc Monceau,View all 4 deals,549,Room was clean
Hotel Palais de Chaillot,View all 5 deals,572,clean room
"Maison Astor Paris, Curio Collection by Hilton",View all 6 deals,730,spacious family room with
Hotel Odeon Saint-Germain,View all 6 deals,"1,602",room was clean
Hotel Duquesne Eiffel,View all 5 deals,"1,752",beautiful room with
Hotel Magellan,View all 5 deals,906,
Hotel Longchamp Elysees,View all 5 deals,843,Room was clean
Hotel des Comedies,View all 5 deals,929,Our room was spacious
Villa Madame,View all 5 deals,850,spacious room
Maison Breguet,View all 5 deals,494,room was clean
Hotel Residence Foch,View all 5 deals,"2,848",beautiful room
Renaissance Paris Republique Hotel,View all 5 deals,731,Lovely room overlooking
Hotel de Banville,View all 5 deals,811,room was clean
Hotel Excelsior Opera,View all 6 deals,758,Nice and clean room
Hotel Marignan,View all 4 deals,"1,058",room with comfortable beds
Hotel Regence Etoile,View all 6 deals,166,nice and clean room
Hotel Etats-Unis Opera,View all 5 deals,512,comfortable room
Volney Opera Hotel,View all 5 deals,654,spacious room and bathroom
Palym Hotel,View all 5 deals,"1,189",clean room
Golden Tulip Opera De Noailles,View all 5 deals,"1,513",room was very clean and comfortable
Neuville Arc de Triomphe Hotel,View all 5 deals,247,superior room
Hotel Le Relais Madeleine,View all 4 deals,489,Superior room was spacious
Hotel du Lion d'Or Louvre,View all 5 deals,605,room was clean and comfortable
Le Placide,View all 4 deals,347,
Hotel Diana,,482,
Hotel Eugene en Ville,,"1,457",comfortable and clean room
Hotel Marais Home,View all 5 deals,979,clean room
Hotel Turenne Le Marais,View all 5 deals,783,the room was super clean
Hotel Ampere Paris,View all 5 deals,"1,529",room was nicely appointed
Hotel Caumartin Opera - Astotel,View all 6 deals,"1,107",spacious room
Odyssey by Elegancia,View all 5 deals,769,room spacious
Motel One Paris-Porte Doree,View all 4 deals,311,
Hotel du Lion,View all 5 deals,796,
Hotel Basss,View all 4 deals,"1,178",Room small but clean
Hotel Le Royal,View all 5 deals,803,spacious room
Hotel de la Place du Louvre - Esprit de France,View all 4 deals,632,
Nadaud Hotel,View all 5 deals,341,
Hotel Henri IV Rive Gauche,View all 5 deals,720,nice spacious room
Hotel Korner Eiffel,,296,great room
Hotel du Prince Eugene,View all 5 deals,"1,585",
Hotel Duret,View all 6 deals,555,room was clean
French Theory,View all 5 deals,136,
Hotel Duc de Saint Simon,View all 5 deals,245,room was clean
Hotel Opera Marigny,View all 5 deals,711,room was spacious
Snob Hotel by Elegancia,View all 5 deals,354,The room was super clean
Villathena Hotel,View all 5 deals,812,spacious room with
Hotel de Sevigne,View all 6 deals,896,comfortable room
Le Quartier Bercy Square Hotel,View all 6 deals,988,clean room
Marais de Launay Hotel - ex Bastille,View all 6 deals,556,room was clean
Hotel Waldorf Trocadero Tour Eiffel,View all 4 deals,"1,205",superior room
Hotel 7 Eiffel by Malone,View all 5 deals,"1,368",Spacious and clean room
Hotel Le Burgundy,View all 5 deals,956,room was perfectly clean
ZE Hotel,View all 5 deals,490,
Hotel Elysees 8,View all 5 deals,234,
"Hotel Banke Opera, Autograph Collection",,"1,653",
Hotel Gaston,View all 6 deals,658,
Hotel Armoni,View all 4 deals,980,room was clean and comfortable
Hotel Chateau Frontenac,View all 5 deals,"1,009",clean room
InterContinental Paris - Le Grand,View all 6 deals,"3,572",amazing room
Best Western Aramis Saint-Germain,View all 5 deals,973,Impeccably clean room
Hotel de la Cite Rougemont,View all 5 deals,832,room was large
Grand Hotel Saint-Michel,View all 6 deals,"1,198",neat and clean room
Minerve Hotel,View all 5 deals,"1,131",room was very clean and comfortable
Pley Hotel,View all 6 deals,410,standard room was spacious
Hotel Cambon,View all 5 deals,703,large double bedroom with
Hotel le Notre Dame,View all 5 deals,"1,224",room was spacious
Handsome Hotel by Elegancia,View all 5 deals,320,
Hotel De Neuve by HappyCulture,View all 4 deals,469,room was large
Hotel Rose Bourbon,View all 6 deals,484,comfortable and clean room
Relais Saint-Jacques,View all 5 deals,553,
Hotel Belloy Saint-Germain,View all 6 deals,"1,173",clean room
Hotel L'Antoine,View all 5 deals,967,Room and bathroom clean
Hotel Royal Saint-Honore,View all 4 deals,"1,058",superior room
Acacias Etoile Hotel,View all 5 deals,"1,271",Very comfortable room
Bob Hotel & Coworking by Elegancia,,342,clean room and
Hotel Madeleine Plaza,View all 5 deals,"1,003",room was clean
Hotel La Villa des Ternes,View all 6 deals,596,
Hotel Claridge,View all 5 deals,408,
Hotel du Triangle d'Or,View all 5 deals,570,
Hotel Mogador,View all 5 deals,278,
Hotel des Marronniers,View all 5 deals,768,beautiful room with
Hotel Mathis,View all 6 deals,267,room overlooking the street
Hotel Stendhal Place Vendome Paris-MGallery,View all 6 deals,635,
De L'arcade Hotel,,401,room was nice and clean
Home MODERNE,,"1,400",room was clean
Pullman Paris Centre - Bercy,View all 6 deals,"3,895",room free of charge
Pullman Paris Montparnasse Hotel,View all 6 deals,236,room was clean
Fred Hotel,View all 5 deals,"1,067",room spacious
Best Western Premier Trocadero La Tour,View all 6 deals,723,spacious room
Hotel Mayfair Paris,View all 7 deals,828,excellent room
Paris France Hotel,View all 5 deals,"1,092",room was large
Hotel Cayre,View all 5 deals,"3,132",Great room
Hotel Jeanne D'Arc,View all 5 deals,961,clean and modern room
Au Manoir Saint Germain Des Pres,View all 5 deals,560,
"Hotel d'Angleterre, Saint Germain des Pres",View all 4 deals,459,Our room was spacious
Hotel Paris Louis Blanc,View all 5 deals,"1,238",room was clean
Hotel Paris Bastille,View all 6 deals,710,Room was spacious
Best Western Premier Faubourg 88,View all 6 deals,640,clean room
Suites & Hotel Helzear Champs-Elysees,View all 5 deals,746,
Hotel Princesse Caroline,View all 5 deals,481,superior room
Hotel Chopin,View all 5 deals,910,
Hotel Apollon Montparnasse,View all 5 deals,"1,203",
Hotel Jardins d'Eiffel,View all 6 deals,"1,341",amazing room
Hotel de Roubaix,View all 5 deals,881,room was clean
Hotel Delambre,View all 5 deals,346,
Hotel Langlois,View all 5 deals,558,Room was large
Hotel Maxim Folies,View all 6 deals,130,included in room price
Hotel Folkestone Opera,View all 5 deals,873,
Hotel Oceanic,View all 6 deals,312,
Hotel de Venise,View all 4 deals,640,superior room with balcony
Hotel Daunou Opera,View all 6 deals,665,Superior Double” room
La Villa Maillot - Arc de Triomphe,View all 5 deals,517,double room which was spacious
The Chess Hotel,View all 6 deals,517,spacious room
Hotel Bachaumont,View all 5 deals,514,room was super clean
Hotel Cordelia,View all 5 deals,726,room clean and
Hotel Moderne Saint Germain,View all 6 deals,333,comfortable twin room
Hotel Design Sorbonne,View all 6 deals,"1,625",comfortable room
Hotel des Grandes Ecoles,View all 5 deals,888,superior room was
Grand Hotel des Balcons,View all 5 deals,910,room spacious
Hotel de la Bretonnerie,View all 5 deals,799,breakfast room was beautiful
Hotel Le Belmont Paris,View all 6 deals,470,
Hotel Windsor Opera,View all 5 deals,544,
Hotel Saint Christophe,View all 5 deals,669,Spotlessly clean room
Hotel Berne Opera,View all 6 deals,854,great games room
"Le Metropolitan, Paris Tour Eiffel, a Tribute Portfolio Hotel",View all 5 deals,906,room was super clean
Ibis Styles Paris Place d'Italie Butte aux Cailles Hotel,View all 4 deals,512,
Le Mathurin Hotel & Spa Paris,View all 5 deals,590,Extremely comfortable room
Hotel International,View all 5 deals,289,room was clean
Hotel Victor Hugo Paris Kleber,View all 6 deals,833,great room
Hotel Le Chaplain Paris Rive Gauche,View all 5 deals,897,Comfortable Room
Hotel Saint-Louis en l'Isle,View all 4 deals,669,superior single room
Hotel Romance Malesherbes by Patrick Hayat,View all 5 deals,339,room was spacious
Mom'Art Hotel & Spa,View all 4 deals,189,beautiful room with
Hotel Louvre Richelieu,View all 4 deals,95,clean room
Hotel Soft,View all 5 deals,"1,390",room clean
Welcome Hotel,View all 5 deals,810,large room by Paris standards
Hotel Lumen Paris Louvre,View all 5 deals,973,room was clean
Select Hotel Rive Gauche,View all 4 deals,"1,337",room included a
Grand Hotel de l'Univers,View all 5 deals,493,
Hotel du Theatre by Patrick Hayat,View all 5 deals,483,large room
Hotel Le Colisee,View all 5 deals,353,clean room
Hotel D'Espagne,View all 5 deals,744,room was extremely comfortable
Hotel Vendome Saint Germain,View all 5 deals,357,
Hotel Pilime,View all 5 deals,420,room was clean
Hotel Maxim Opera,View all 6 deals,486,superior room
Ibis Styles Paris 16 Boulogne,View all 6 deals,247,great room overlooking the
Hotel de Sevres,View all 5 deals,621,Room view
Hotel de Vendome,,494,
Hotel de Paris Montparnasse,View all 5 deals,523,Great room
Hotel Odessa Montparnasse,View all 5 deals,527,The room was super clean
Hotel de France Invalides,View all 5 deals,642,Great view from our room
"Holiday Inn Paris - Gare de Lyon Bastille, an IHG hotel",View all 6 deals,"1,449",room was clean
Hotel Etoile Saint-Ferdinand by HappyCulture,View all 5 deals,891,Beautiful view from the room
Hyatt Regency Paris Etoile,View all 5 deals,"1,870",room was clean
Hotel Montfleuri,View all 5 deals,443,included in room rate
Hotel Champerret Elysees,View all 5 deals,451,
Hotel Best Western Montcalm,View all 5 deals,703,
Hotel des Nations St-Germain,View all 6 deals,565,Room was clean
Hotel Beausejour-Ranelagh,View all 4 deals,46,room clean and
Hotel Val Girard,View all 4 deals,644,
Hotel Quartier Latin,View all 5 deals,594,
L'Hotel,View all 6 deals,569,clean room
Le Marceau Bastille Hotel,View all 5 deals,764,the room was exceptionally clean
Hotel le Chat Noir,View all 5 deals,432,room upgrade
Hotel Virgina,View all 6 deals,488,clean room
Hotel Vaneau Saint Germain,View all 5 deals,652,room was clean
Hotel Beaubourg,View all 4 deals,907,room was clean
Hotel Plaza Elysees,View all 5 deals,524,free water in the room
Maison Malesherbes,View all 6 deals,167,
Hotel Harvey,View all 5 deals,467,
Hotel Josephine by HappyCulture,View all 5 deals,"1,005",
Hotel Paris Louvre Opera,View all 5 deals,847,
Hotel du Bois,View all 5 deals,483,
Hotel Le Pavillon,View all 5 deals,338,Clean room and
My Home in Paris Hotel,View all 5 deals,189,Beautiful room
La Maison Montparnasse,,628,
Pavillon Nation,,"1,071",
Lux Hotel Picpus,View all 5 deals,487,
Novotel Suites Paris Expo Porte de Versailles,View all 6 deals,541,
Timhotel Montmartre,View all 6 deals,"1,537",a city view room
Hotel Elysees Union,View all 5 deals,"1,498",room was clean
Hotel Crayon By Elegancia,View all 5 deals,785,Room was clean and comfortable
Europe Hotel Paris Eiffel,View all 5 deals,767,clean room and bathroom
Hotel Tilsitt Etoile Paris,View all 5 deals,588,Room was spacious
citizenM Paris Gare de Lyon Hotel,View all 5 deals,"2,685",comfortable and clean room
Hotel Prince Albert Montmartre,View all 6 deals,513,room clean and modern
Hotel Oratio,View all 4 deals,"1,083",
Terminus Orleans,View all 5 deals,734,
Le Petit Belloy Saint-Germain,View all 6 deals,685,
Hotel Elysees Regencia,View all 5 deals,777,room was clean
Hotel Stella Etoile,View all 4 deals,609,room was clean
Seven Hotel Paris,View all 5 deals,75,Clean room
Hotel Albe Bastille,View all 5 deals,550,
Hotel Felicien by Elegancia,View all 5 deals,"1,102",
Hotel La Parizienne,View all 5 deals,688,
Hotel de Montesquieu,View all 4 deals,299,spacious room
Albert's Hotel,View all 5 deals,641,superior room
Hotel Helios Opera,View all 5 deals,588,spacious room
Hotel Louvre Marsollier Opera,View all 6 deals,839,spacious and clean room
The Hotel Cabane,View all 5 deals,889,
Le Petit Madeleine Hotel,View all 4 deals,338,included in our room price
Hotel Fougere,,77,living room was great
Madeleine Haussmann Hotel,View all 5 deals,535,comfortable room
Hotel Le 209 Paris Bercy,View all 5 deals,327,
Hotel Astra Opera - Astotel,,"1,398",
Montmartre Mon Amour,,"1,112",
Citadines Tour Eiffel Paris,View all 6 deals,456,the room was super clean
Novotel Paris Centre Gare Montparnasse,View all 6 deals,"2,637",daily room clean
Hotel Eiffel Seine,View all 5 deals,"2,539",clean room
Hotel L'interlude,View all 6 deals,731,
Hotel Eiffel Trocadero,View all 5 deals,623,welcoming room
Hotel Le Regent,View all 5 deals,406,
Renaissance Paris Nobel Tour Eiffel Hotel,View all 5 deals,967,great room
Dadou Paris - Hotel,View all 4 deals,76,comfortable room
Mercure Paris Bercy Bibliotheque,View all 6 deals,"1,016",
Hotel Bassano,View all 5 deals,476,
Hotel de l'Esperance,View all 4 deals,426,
Louvre Piemont Hotel,View all 5 deals,430,
"Hotel Litteraire Le Swann, BW Premier Collection",View all 6 deals,732,Clean room
Mercure Paris 17 Batignolles,View all 6 deals,238,
Babel Hotels Belleville,View all 5 deals,81,room was lovely and clean
Hotel Abbatial Saint Germain,View all 4 deals,"1,296",room with street view
First Hotel,View all 4 deals,"1,631",the Eiffel Tower view room
Hotel Le 20 Prieure,View all 6 deals,506,
Hotel Arc de Triomphe Etoile,View all 5 deals,385,clean room
Hotel Pavillon Bastille,View all 6 deals,503,
Hotel R. Kipling by HappyCulture,View all 5 deals,805,clean room
Aulivia Opera Hotel,View all 6 deals,586,clean room
Hotel Courcelles Etoile,View all 6 deals,406,room was super comfortable
Hotel Le Marcel Paris Gare de l'Est,View all 5 deals,740,clean and comfortable room
Pink Hotel,View all 5 deals,456,Room was clean
New Hotel Roblin La Madeleine,View all 6 deals,704,room was spacious
Hotel Convention Montparnasse,View all 5 deals,681,clean room and bathroom
Hotel Bedford,,650,hotel room was clean and
Hotel Waldorf Madeleine,,408,
Hilton Paris Opera,View all 5 deals,"2,942",room was clean
Waldorf Montparnasse Hotel,View all 5 deals,633,room comfortable
Mercure Paris Vaugirard Porte de Versailles Hotel,View all 6 deals,982,room was clean and comfortable
Campanile Paris 19 - La Villette,View all 5 deals,"1,898",
Chouchou,View all 5 deals,135,Room was exceptionally clean
Source Hotel,View all 5 deals,336,
Hotel Le M Paris,View all 6 deals,"1,195",spacious room
Hotel Dame des Arts,View all 6 deals,51,
Eden Hotel Opera,View all 6 deals,473,room was clean
Hotel Maxim Quartier Latin,View all 6 deals,418,room was clean
Hotel Edgar and Achille,View all 5 deals,216,room was clean
Hotel Delavigne,View all 4 deals,342,
OKKO HOTELS Paris Gare de l'Est,View all 6 deals,266,room was clean
AC Hotel by Marriott Paris Porte Maillot,View all 5 deals,518,room overlooking
Amastan Paris,View all 5 deals,153,
9Hotel Republique,View all 6 deals,848,room overlooking the street
Ibis Paris Avenue de la Republique,View all 6 deals,600,
Hotel Arcadie Montparnasse,View all 5 deals,645,Room was clean
Villa des Ambassadeurs,View all 6 deals,518,
Hotel Sacha,View all 6 deals,818,room was comfortable and clean
Les Rives De Notre Dame,View all 4 deals,326,great room
Grand Hotel Dore,View all 5 deals,740,
Hotel des Deux Continents,View all 5 deals,552,comfortable room
Villa Montparnasse,View all 6 deals,883,
Hotel Le Cardinal,View all 5 deals,327,room was clean
Art Hotel Eiffel,View all 5 deals,690,
Hotel Trinite Haussmann,View all 5 deals,310,room overlooking
Hotel Bourg Tibourg,View all 5 deals,372,The room was super clean
Hotel de la Tremoille,View all 5 deals,475,
Cristal Champs Elysees,,438,
"Holiday Inn Express Paris - Canal de la Villette, an IHG Hotel",View all 6 deals,"1,453",Room was large
Hotel Aida Opera,View all 5 deals,357,Excellent room with
Maison Saintonge,View all 5 deals,152,clean room and comfortable bed
Citadines Saint-Germain-des-Pres Paris,View all 6 deals,"2,500",spacious room
Novotel Paris Centre Bercy,View all 6 deals,"1,936",room was clean
Hotel Saint-Marcel,View all 4 deals,166,
Hotel Eiffel Capitol,View all 6 deals,870,room was clean
Logis Jardin De Villiers,View all 5 deals,151,
Hotel Paris Vaugirard,View all 6 deals,589,room and friendly staff
Contact Hotel Alize Montmartre,View all 6 deals,330,breakfast included in the room
MERCURE PARIS OPERA GARNIER HOTEL & SPA,View all 6 deals,"1,586",Beautiful modern room
Hotel Saint-Louis Pigalle,View all 4 deals,177,Spacious room with
Elysees Ceramic Hotel,View all 5 deals,927,room was clean
Hotel Queen Mary,View all 5 deals,355,spacious room
Mercure Paris La Sorbonne Saint Germain des Pres,View all 6 deals,"1,221",room was spacious
M Social Hotel Paris,View all 5 deals,65,large room size
Hotel Arioso,View all 6 deals,389,
Hotel Eden Montmartre,View all 5 deals,372,room was clean
Hotel Le Vert Galant,View all 5 deals,201,very comfortable room
Hotel Elysees Flaubert,View all 5 deals,403,
Timhotel Opera Blanche Fontaine,View all 6 deals,835,spacious room
Residence du Pre,View all 6 deals,321,great room
Edouard VI Hotel,View all 5 deals,401,
Hotel Bienvenue,View all 6 deals,341,room with comfortable bed
Hotel Le 46,View all 5 deals,400,comfortable clean room with
Hotel Doisy Etoile,View all 5 deals,177,spacious breakfast room
Hotel des Carmes by Malone,,287,room was large
Hotel Le Bailli de Suffren,View all 6 deals,541,
Grand Hotel Amelot,,360,room was clean
Niel Hotel,View all 5 deals,421,excellent room
Hotel Du Cygne,View all 5 deals,80,superior room
Ibis Styles Paris Meteor Avenue de la Porte d'Italie,View all 6 deals,218,great room
Citadines Bastille Marais Paris,View all 6 deals,"1,151",Great sized room
Yooma Urban Lodge,View all 5 deals,918,room was clean
Hotel de Suez,View all 6 deals,952,
Hotel Jardin De Cluny,View all 4 deals,43,Our room was extremely comfortable
La Maison Champs Elysees,View all 5 deals,756,nice room and great
Hotel Alhambra,View all 4 deals,943,room was extremely clean
Ibis Styles Paris Massena Olympiades,View all 6 deals,641,
Residhotel Imperial Rennequin,View all 5 deals,179,
Grand Hotel Leveque,View all 6 deals,100,Nice room very clean
Ibis Paris Bastille Faubourg Saint Antoine 11eme,View all 6 deals,"1,197",large shower room
Off Paris Seine,View all 5 deals,687,river view room
Hotel Eiffel Segur,View all 5 deals,655,Nice and clean room
Hotel d'Argenson,View all 5 deals,435,room upgrade
Mercure Paris Place d'Italie,View all 6 deals,362,
Hotel Opera d'Antin,View all 5 deals,514,
Hotel Sleeping Belle,View all 5 deals,86,clean and quiet room
Hotel Cluny Square,View all 5 deals,887,
Warwick Paris,View all 6 deals,"1,055",spacious shower room
Hotel Le Clos Medicis,View all 5 deals,736,superior double room was
Hotel Serotel Lutece,View all 5 deals,315,courtyard view room
Hotel Vinci Due,View all 6 deals,69,beautiful room
Hotel Paradis,View all 5 deals,419,
Hotel Albert 1er,View all 6 deals,321,Large room with
Hotel Les Theatres,View all 6 deals,514,beautiful room
Moris Hotel,View all 5 deals,336,
Hotel Cosmotel,View all 5 deals,231,
Little Palace Hotel,,385,room overlooking the park
Hotel California,,"1,028",
Hotel Costes,,923,
Fertel Etoile,View all 4 deals,549,Room was spacious
Mercure Paris Montmartre Sacre Coeur,View all 6 deals,"3,256",very comfortable room
Citadines Les Halles Paris,View all 6 deals,"1,435",Spacious room
Familia Hotel,View all 4 deals,680,
Hotel Jacques de Molay,View all 4 deals,217,
Les Bulles De Paris,View all 6 deals,687,room was clean
Hotel Mercure Paris 15 Porte de Versailles,View all 6 deals,627,
Classics Hotel Bastille,View all 5 deals,649,
ibis Paris Bercy Village 12eme,View all 6 deals,"2,051",Room was clean
Libertel Austerlitz Jardin des Plantes,View all 5 deals,802,Large room
Le Grand Hotel de Normandie,View all 6 deals,814,room was clean
Hotel ibis Styles Paris Tolbiac Bibliotheque,View all 6 deals,"1,111",Comfortable room and beds
Hotel Mercure Paris Tour Eiffel Pont Mirabeau,View all 6 deals,893,Large room
Hotel Du Midi Paris Montparnasse,View all 5 deals,456,
Hotel Cervantes by HappyCulture,View all 5 deals,"1,271",clean room
Hotel Bastille Speria,View all 5 deals,97,room overlooking the main street
Royal Garden Champs Elysees,View all 5 deals,512,Clean room
Esmeralda Hotel,View all 5 deals,461,
Grand Hotel Dechampaigne,View all 5 deals,"1,173",room was spotlessly clean
Hotel Balzac,View all 5 deals,571,
Hotel Le 18 Paris,View all 5 deals,284,room overlooking the road
Hotel Saint Germain des Pres,,399,
Hotel Apolonia Mouffetard,View all 5 deals,809,room upgrade
3H Paris Marais Hotel,View all 5 deals,363,
District Republique,View all 5 deals,237,
L'Ouest Hotel,View all 4 deals,388,clean and modern room
9HOTEL OPERA,View all 6 deals,990,great spacious room
Hotel Diva Opera,View all 5 deals,435,room was large
Hotel Verlaine,View all 4 deals,163,
Hotel Fontaines du Luxembourg,View all 6 deals,445,room was surprisingly large
Best Western Quartier Latin Pantheon,View all 5 deals,426,Room clean
Hotel Ibis Styles Paris 15 Lecourbe,View all 6 deals,765,included in our room rate
Touring Hotel,View all 5 deals,663,Large room and bathroom
Hotel Campanile Paris Bercy Village,View all 5 deals,"1,613",room was clean
"Holiday Inn Paris - Montmartre, an IHG hotel",View all 6 deals,501,Comfortable room
"Holiday Inn Paris - Auteuil, an IHG hotel",View all 6 deals,367,room was clean and comfortable
Pullman Paris Eiffel Tower Hotel,View all 5 deals,"3,856",great room with
Citadines Opera Paris,View all 6 deals,326,Room spacious
Hotel Beige,View all 6 deals,607,room was exceptionally clean
Mercure Paris Montparnasse Raspail,View all 5 deals,"1,184",Clean room and
Hotel Aida Marais,View all 5 deals,"1,414",clean room
Hotel Victoria Chatelet,View all 4 deals,289,
Hotel Arc de Triomphe,View all 5 deals,290,room was clean
Hotel Ariane Montparnasse,View all 5 deals,642,clean room and bathroom
Mercure Paris Bastille Marais,View all 6 deals,756,room was clean
Raspail Montparnasse Hotel,View all 6 deals,303,Great room
Mercure Paris Arc de Triomphe Etoile,View all 6 deals,830,Superior Room
Ibis Paris Gare de Lyon Ledru Rollin 12eme,View all 6 deals,"1,588",
Hotel Providence Paris,,228,comfortable room with
Hotel Royal Saint Germain,View all 5 deals,708,
Alba Opera Hotel,View all 5 deals,349,room was spacious
Hotel Saint Charles,View all 4 deals,398,
Mercure Paris Pigalle Sacre Coeur,View all 6 deals,477,huge room
La Finca,View all 5 deals,410,
BLC Design Hotel,View all 5 deals,783,
Korner Opera,,75,
Hotel Chateaudun Opera,View all 6 deals,491,room was clean and comfortable
Hotel Viator - Paris Gare de Lyon,View all 6 deals,407,
Hotel Bloum,View all 6 deals,328,room was nice and clean
Novotel Paris 14 Porte d'Orleans,View all 6 deals,"1,331",
Hotel Beaugency,View all 5 deals,474,room was clean
Castex Hotel,View all 5 deals,801,
Tiquetonne,View all 5 deals,700,clean room
Hotel Beaugrenelle Saint Charles Eiffel Tower,View all 5 deals,491,
ibis Paris Grands Boulevards Opera 9th,View all 6 deals,"1,698",friendly - room
Kyriad Paris 18 - Porte De Clignancourt - Montmartre,View all 5 deals,490,spacious room
Hotel Inn Design Paris,View all 5 deals,395,Excellent room with
Grand Hotel des Gobelins,View all 4 deals,782,
Hotel Michelet Odeon,View all 5 deals,480,
Hotel De Notre Dame,View all 5 deals,386,
Majestic Hotel-Spa Champs-Elysees,View all 6 deals,427,superior room
Hotel de Bellevue Paris Gare du Nord,,615,hotel room was clean
Hotel Emile Le Marais,View all 6 deals,370,room was clean
Sonder Le Frochot,View all 4 deals,381,
Monceau Wagram Hotel,View all 6 deals,747,room was clean
Ibis Paris Vaugirard Porte De Versailles,View all 6 deals,552,
J.K. Place Paris,View all 6 deals,49,room overlooking
Midnight Hotel Paris,View all 5 deals,807,
Hotel le Lavoisier,View all 5 deals,511,
Hotel Pierre Nicole,View all 5 deals,152,Spacious room
Avia Saphir Montparnasse Hotel,View all 5 deals,637,the room was extremely clean
Hotel des Ecrivains,View all 5 deals,378,
Hotel Konfidentiel,View all 5 deals,228,Room was clean
Best Western Au Trocadero,View all 5 deals,389,room was clean
Hotel Elixir,View all 6 deals,886,room was clean
Ibis Paris Pere Lachaise,View all 6 deals,558,room was clean and comfortable
Hotel Splendor Elysees,View all 5 deals,236,hotel room was clean and
Hotel Standard Design,,772,
Art Hotel Lafayette,,545,
"Holiday Inn Paris - St. Germain des Pres, an IHG Hotel",,"1,238",
